date,page_path_and_screen_class,views,sessions,engaged_sessions,engagement_rate,average_engagement_time_per_session,conversions
2025-06-14,/,230,190,126,0.6631578947368421,60,4
2025-06-14,/precatorios,139,121,91,0.7520661157024794,234,11
2025-06-14,/precatorios/como-receber,122,182,130,0.7142857142857143,123,7
2025-06-14,/precatorios/tipos,106,99,72,0.7272727272727273,123,8
2025-06-14,/precatorios/calculadora,120,166,125,0.7530120481927711,173,7
2025-06-14,/blog,124,139,103,0.7410071942446043,151,4
2025-06-14,/blog/o-que-sao-precatorios,182,139,97,0.697841726618705,139,7
2025-06-14,/blog/direitos-precatórios,150,89,63,0.7078651685393258,247,3
2025-06-14,/blog/leis-precatorias,103,96,75,0.78125,161,6
2025-06-14,/contato,81,46,41,0.8913043478260869,276,9
2025-06-14,/sobre,51,35,25,0.7142857142857143,139,3
2025-06-14,/servicos,45,34,25,0.7352941176470589,238,10
2025-06-14,/servicos/consultoria,28,35,25,0.7142857142857143,108,3
2025-06-14,/servicos/advocacia,55,46,28,0.6086956521739131,105,3
2025-06-14,/casos-de-sucesso,34,22,15,0.6818181818181818,81,2
2025-06-14,/duvidas-frequentes,39,58,38,0.6551724137931034,141,3
2025-06-15,/,377,270,158,0.5851851851851851,47,7
2025-06-15,/precatorios,139,114,75,0.6578947368421053,236,9
2025-06-15,/precatorios/como-receber,196,133,90,0.6766917293233082,183,9
2025-06-15,/precatorios/tipos,179,146,98,0.6712328767123288,137,7
2025-06-15,/precatorios/calculadora,158,130,95,0.7307692307692307,215,8
2025-06-15,/blog,83,95,72,0.7578947368421053,206,2
2025-06-15,/blog/o-que-sao-precatorios,149,138,91,0.6594202898550725,126,11
2025-06-15,/blog/direitos-precatórios,75,76,60,0.7894736842105263,258,8
2025-06-15,/blog/leis-precatorias,65,106,80,0.7547169811320755,269,7
2025-06-15,/contato,55,69,60,0.8695652173913043,182,8
2025-06-15,/sobre,62,41,29,0.7073170731707317,103,2
2025-06-15,/servicos,67,72,55,0.7638888888888888,180,13
2025-06-15,/servicos/consultoria,55,32,21,0.65625,73,3
2025-06-15,/servicos/advocacia,56,34,21,0.6176470588235294,80,1
2025-06-15,/casos-de-sucesso,48,57,34,0.5964912280701754,106,3
2025-06-15,/duvidas-frequentes,35,23,14,0.6086956521739131,132,1
2025-06-16,/,230,295,198,0.6711864406779661,79,4
2025-06-16,/precatorios,105,158,114,0.7215189873417721,190,6
