Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
1/2 COXA TRANS FRENTE,Confeccao,ACESSORIO,20/08/12,00/00/00,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.54,79.9
15-005,Sapato Feminino,RASTEIRINHA,03/09/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
ALL STAR,Sapato Feminino,TENIS,25/08/21,31/03/25,711,13.0,1876.4,3678.7,24,3225.4,5466.9,980.54,299.9,123.41415384615385,243.59230769230768
ALL STAR,Sapato Masculino,TENIS,21/05/24,27/02/25,21,4.0,512.4,1019.6,2,301.8,300.0,0.6,150.0,145.63,269.9
ALL STAR,Tenis Adulto,TENIS,02/12/19,00/00/00,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.26666666666667,163.23333333333335
ALPARGATAS,Sapato Feminino,CHINELOS,25/08/16,00/00/00,23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.8,89.9
ALPARGATAS,Sapato Feminino,SAPATILHA,11/07/16,00/00/00,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.67,89.9
AMOSTRA,Acessorios,ACESSORIOS,13/03/18,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.19,1.0
ANEL,Acessorios,ANEL,24/08/12,00/00/00,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.4875,94.9
ANKLE BOOT,Bota,BOTA,21/01/14,00/00/00,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.7,179.9
ANTI DERRAPANTE,Acessorios,ACESSORIOS,03/10/13,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9205,19.9
ANTI DERRAPANTE,Acessorios,CINTO,26/03/11,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.95,13.9
APOIO PLANTAR,Acessorios,ACESSORIOS,27/12/13,00/00/00,96,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.114999999999998,31.15
AVESSO,Confeccao,CASACO,23/02/19,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.0,89.9
BABY LOOK,Confeccao,BLUSA,17/11/15,00/00/00,29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.884999999999998,39.9
BABY LOOK FEM,Confeccao,BLUSA,09/08/13,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.89,59.9
BABY LOOK LISA,Confeccao,BLUSA,25/07/13,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.9,39.9
BABYDOOL,Confeccao,PIJAMA,10/10/12,00/00/00,27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.4,62.400000000000006
BAMBER,Confeccao,CASACO,10/04/25,17/04/25,5,4.0,260.0,519.6,1,65.0,129.9,99.85,129.9,65.0,129.9
BANDEJA,Acessorios,ACESSORIOS,29/05/14,00/00/00,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.436666666666667,4.666666666666667
BASE,Acessorios,ACESSORIOS,19/10/21,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.8,1.0
BATA,Confeccao,BATA,31/01/13,00/00/00,334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,60.686142857142855,119.75728571428571
BATA,Confeccao,BLUSA,31/10/18,00/00/00,175,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,61.83430107526882,117.96483870967744
BATA,Confeccao,CALCA,06/12/19,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.56,149.9
BATA APLIQUE,Confeccao,BATA,08/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,89.9
BATA BEGE,Confeccao,BLUSA,18/05/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.99,69.9
BATA BORBOLETA,Confeccao,BLUSA,25/10/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26.9,49.9
BATA C CINTO,Confeccao,BATA,05/05/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.9
BATA C GRP,Confeccao,BLUSA,15/05/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76.9,159.9
BATA C LENCO,Confeccao,BATA,05/05/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.4,94.9
BATA C TOP,Confeccao,BATA,05/02/13,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
BATA C/ BABADO,Confeccao,BLUSA,10/11/11,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,149.9
BATA C/BOJO,Confeccao,BATA,19/08/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,56.9,99.91
BATA C/FIVELA MOUSSELINE,Confeccao,BLUSA,05/04/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.9
BATA CAIDA CINTO,Confeccao,BLUSA,25/10/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.9,89.9
BATA CARCELA TECIDO,Confeccao,BATA,18/07/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,119.9
BATA CHIFFON C/PALA,Confeccao,BLUSA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
BATA CHIFON,Confeccao,BATA,08/08/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,89.9
BATA CIGANA,Confeccao,BATA,08/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,89.9
BATA CIGANINHA,Confeccao,BLUSA,09/11/16,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.91,129.9
BATA COM SILK SEXTAVADA,Confeccao,CAMISA,06/03/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,84.9,159.9
BATA COMPRIDA,Confeccao,BATA,19/08/11,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.9,99.91
BATA CORDAO PENAS,Confeccao,BLUSA,20/03/15,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.0,119.9
BATA CREPE,Confeccao,BLUSA,15/05/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,149.9
BATA CURTA,Confeccao,BATA,19/08/11,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.91
BATA DARK,Confeccao,BLUSA,15/05/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.9,149.9
BATA EST.,Confeccao,BLUSA,12/03/15,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.4,124.9
BATA ESTAMPADA,Confeccao,BLUSA,18/05/11,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,60.903333333333336,119.90000000000002
BATA FIO TINTO,Confeccao,BLUSA,19/05/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.95,129.9
BATA FLAME,Confeccao,BATA,02/08/12,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,89.9
BATA GLOSS EST.,Confeccao,BLUSA,12/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
BATA GRIPIN,Confeccao,BATA,17/09/14,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
BATA LARGAC/RENDA BOTAO,Confeccao,BATA,19/08/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.9,129.9
BATA LENCO,Confeccao,BATA,16/01/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
BATA LINHO,Confeccao,BATA,16/05/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.95,99.9
BATA LISA COLAR,Confeccao,BLUSA,25/10/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
BATA M/L DETALHE ABERTO,Confeccao,BATA,06/03/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
BATA MANGA RENDA,Confeccao,BATA,16/05/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.95,69.9
BATA MANGA TULE,Confeccao,BLUSA,11/03/16,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.92,129.9
BATA PAETE,Confeccao,BLUSA,16/01/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.9,84.9
BATA POMODORO MANACA,Confeccao,BLUSA,26/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,149.9
BATA PRETA,Confeccao,BLUSA,18/05/11,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.95,69.9
BATA PROMODORO,Confeccao,BLUSA,26/03/14,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.25,149.9
BATA RAGLAN ESTAM,Confeccao,BATA,06/03/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.9,129.9
BATA RENATA,Confeccao,BATA,31/01/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.9,69.9
BATA RENATA/CINTO,Confeccao,BATA,16/05/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.9,79.9
BATA RENDA,Confeccao,BATA,16/05/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.95,89.9
BATA RENDA,Confeccao,BLUSA,10/11/11,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.98,69.9
BATA SUB RENDA,Confeccao,BLUSA,18/07/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.9,99.9
BATA SUBLIMADA,Confeccao,BLUSA,09/11/16,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.91,179.9
BATA TEC. MANGA,Confeccao,BLUSA,07/08/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,72.9,139.9
BATA TECIDO,Confeccao,BLUSA,28/04/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.95,119.9
BATA TECIDO GOLA,Confeccao,BATA,06/03/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
BATA TRICOLINE FRENT UN,Confeccao,BATA,09/09/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,62.9,119.9
BATA VISCOSE,Confeccao,BATA,06/11/14,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.56666666666668,116.56666666666668
BATA VISCOSE,Confeccao,BLUSA,12/03/15,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.9,129.9
BATA VISCOSI XADREZ,Confeccao,BLUSA,12/03/14,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.9,159.9
BATA VOIL,Confeccao,BATA,16/01/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,69.9
BATA VOIL,Confeccao,BLUSA,22/07/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.9,119.9
BATAO,Confeccao,BATA,05/02/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
BATAO TECIDO,Confeccao,BLUSA,21/07/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
BATINHA,Confeccao,BLUSA,29/03/17,00/00/00,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.60333333333333,86.56666666666666
BATINHA CM RENDA,Confeccao,BLUSA,10/11/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.9,59.9
BATINHA/LENCO,Confeccao,BATA,16/05/12,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
BEM 10,Chinelo Infantil,CHINELO INFANTIL,25/09/12,00/00/00,32,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.83,21.9
BEMATECH IMPRESSORA,Acessorios,ACESSORIOS,28/03/16,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2279.0,2279.0
BEMUDA MASC,Confeccao,BERMUDA,01/08/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.9,79.9
BERM. BOY. LEUZA,Confeccao,BERMUDA,24/12/12,00/00/00,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.4,89.9
BERM7UDA MASC,Confeccao,BERMUDA,27/09/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.93,29.9
BERMDA XADREZ,Confeccao,BERMUDA,28/10/11,00/00/00,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.9,59.9
BERMUDA,Confeccao,BERMUDA,31/12/12,30/01/25,2559,35.0,2614.2200000000003,5366.5,35,2085.41,3236.53,962.13,174.95,51.37855036855037,118.05692874692876
BERMUDA,Confeccao,BLUSA,31/08/16,00/00/00,124,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.64666666666667,103.23476190476192
BERMUDA,Confeccao,CALCA,29/11/22,00/00/00,70,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,46.66764705882353,114.31176470588235
BERMUDA,Confeccao,CAMISETA,15/07/21,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.86,74.9
BERMUDA,Confeccao,MACACAO,07/12/16,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.37,119.9
BERMUDA,Confeccao,SHORT,24/11/16,00/00/00,106,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36156,95.23333333333333
BERMUDA,Confeccao,VESTIDO,11/10/16,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.04,89.9
BERMUDA ASSEDIO,Confeccao,BLUSA,01/04/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.95,69.9
BERMUDA AUSINE,Confeccao,BERMUDA,20/10/15,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.45,89.9
BERMUDA BOYFRIEND,Confeccao,BERMUDA,28/03/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,56.94,169.9
BERMUDA BOYFRIEND FEM,Confeccao,BERMUDA,09/08/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,71.34,199.9
BERMUDA C/CINTO,Confeccao,BERMUDA,16/01/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,93.47,189.9
BERMUDA C/LENCO,Confeccao,BERMUDA,16/01/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,80.04,159.9
BERMUDA CARGO,Confeccao,BERMUDA,09/09/24,26/02/25,12,1.0,78.55,159.9,1,78.55,159.9,103.56,159.9,82.96,159.9
BERMUDA CICLISTA FEM,Confeccao,BERMUDA,09/08/13,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,70.14,199.9
BERMUDA CONFORT,Confeccao,BERMUDA,20/09/12,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,64.0,119.9
BERMUDA CREMONA,Confeccao,BERMUDA,24/09/14,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26.45,99.9
BERMUDA DATLH ONA,Confeccao,BERMUDA,15/04/13,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,103.37,199.9
BERMUDA DULIANE,Confeccao,BERMUDA,24/09/14,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.95,99.9
BERMUDA DZARM,Confeccao,BLUSA,04/04/11,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.95,139.91
BERMUDA EMANA,Confeccao,MODELADOR,28/09/12,00/00/00,122,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.043333333333333,29.899999999999995
BERMUDA ENIDE,Confeccao,BERMUDA,20/10/15,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.95,99.9
BERMUDA FANITA,Confeccao,BERMUDA,20/10/15,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.45,89.9
BERMUDA FEM,Confeccao,BERMUDA,27/09/12,00/00/00,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25174,57.9
BERMUDA FEM BOYFRIE,Confeccao,BERMUDA,25/10/12,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.9,109.9
BERMUDA FEM.,Confeccao,BERMUDA,22/03/13,00/00/00,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.093333333333334,93.23333333333335
BERMUDA FEMININA,Confeccao,BERMUDA,04/08/17,00/00/00,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.43,119.9
BERMUDA JULIANA,Confeccao,BERMUDA,09/02/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
BERMUDA KAMARAS,Confeccao,BLUSA,01/04/11,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.95,79.9
BERMUDA LOOPPER,Confeccao,BERMUDA,10/08/11,00/00/00,23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.95000000000001,89.91000000000001
BERMUDA MANDY,Confeccao,BERMUDA,20/10/15,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.95,89.9
BERMUDA MANIKE,Confeccao,BERMUDA,20/10/15,00/00/00,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.45,99.9
BERMUDA MARTA,Confeccao,BERMUDA,18/11/11,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.9,79.9
BERMUDA MARTINA,Confeccao,BERMUDA,20/10/15,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21.2,89.9
BERMUDA MASC,Confeccao,BERMUDA,31/10/11,00/00/00,93,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.42611111111111,73.78888888888889
BERMUDA MASC,Confeccao,CALCA,27/09/12,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.09,49.9
BERMUDA MASC.,Confeccao,BERMUDA,30/07/13,00/00/00,60,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,52.949999999999996,109.9
BERMUDA MEIA COXA,Confeccao,BERMUDA,16/01/13,00/00/00,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28975,104.9
BERMUDA MILLY,Confeccao,BERMUDA,18/11/11,00/00/00,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.4,79.9
BERMUDA MOGUICIA,Confeccao,BERMUDA,20/10/15,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.7,89.9
BERMUDA OREG,Confeccao,BERMUDA,22/05/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.9,89.9
BERMUDA OREGON,Confeccao,BERMUDA,22/05/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,55.9,99.9
BERMUDA ORIENTAL,Confeccao,BLUSA,01/04/11,00/00/00,13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.95,69.9
BERMUDA OTT,Confeccao,BERMUDA,10/08/11,00/00/00,34,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20.774444444444445,58.79222222222222
BERMUDA SARJA,Confeccao,BERMUDA,16/01/13,00/00/00,21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.928333333333335,81.57166666666667
BERMUDA SARUEL,Confeccao,BERMUDA,27/09/12,00/00/00,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.65,49.9
BERMUDA SAWARY,Confeccao,BLUSA,31/03/11,00/00/00,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.95,39.91
BERMUDA SLIM,Confeccao,BERMUDA,31/08/12,00/00/00,117,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.949999999999998,34.23333333333333
BERMUDA SPECTRUM,Confeccao,BERMUDA,03/08/11,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.01,69.9
BERMUDA SPIKER,Confeccao,BERMUDA,24/04/13,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,126.83,219.9
BERMUDA SUEMI,Confeccao,BERMUDA,12/01/16,00/00/00,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.45,69.9
BERMUDA TACHAS ESPELHO,Confeccao,BERMUDA,15/04/13,00/00/00,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,98.98,199.9
BERMUDA UP LINE,Confeccao,BERMUDA,13/02/12,00/00/00,17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.95,19.9
BERMUDA UP LINE,Meias,MEIAS,12/05/11,00/00/00,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.95,19.9
BERMUDA ZINA,Confeccao,BERMUDA,24/09/14,00/00/00,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.9,99.9
