ID_Produto,Produto,Grupo,SubGrupo,Ultima Compra,Ultima Venda,Qtd Ent,Estoque Geral,Custo Estoque,Vr.Venal,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda
1,1/2 COXA TRANS FRENTE,Confeccao,ACESSORIO,2012-08-20,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.54,79.9
2,15-005,Sapato Feminino,RASTEIRINHA,2013-09-03,,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,49.9,99.9
3,ALL STAR,Sapato Feminino,TENIS,2021-08-25,2025-03-31,711,13.0,1877.0,3678.7,24,3225.4,5466.9,980.54,299.9,123.41415384615384,243.59230769230768
4,ALL STAR,Sapato Masculino,TENIS,2024-05-21,2025-02-27,21,4.0,513.0,1019.6,2,301.8,300.0,0.6,150.0,145.63,269.9
5,ALL STAR,Tenis Adulto,TENIS,2019-12-02,,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,83.26666666666667,163.23333333333335
6,ALPARGATAS,Sapato Feminino,CHINELOS,2016-08-25,,23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.8,89.9
7,ALPARGATAS,Sapato Feminino,SAPATILHA,2016-07-11,,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.67,89.9
8,AMOSTRA,Acessorios,ACESSORIOS,2018-03-13,,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.19,1.0
9,ANEL,Acessorios,ANEL,2012-08-24,,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.4875,94.9
10,ANKLE BOOT,Bota,BOTA,2014-01-21,,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.7,179.9
11,ANTI DERRAPANTE,Acessorios,ACESSORIOS,2013-10-03,,9,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.205,19.9
12,ANTI DERRAPANTE,Acessorios,CINTO,2011-03-26,,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.95,13.9
13,APOIO PLANTAR,Acessorios,ACESSORIOS,2013-12-27,,96,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.114999999999998,31.15
14,AVESSO,Confeccao,CASACO,2019-02-23,,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.0,89.9
15,BABY LOOK,Confeccao,BLUSA,2015-11-17,,29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.885,39.9
16,BABY LOOK FEM,Confeccao,BLUSA,2013-08-09,,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,28.89,59.9
17,BABY LOOK LISA,Confeccao,BLUSA,2013-07-25,,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.9,39.9
18,BABYDOOL,Confeccao,PIJAMA,2012-10-10,,27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.4,62.400000000000006
19,BAMBER,Confeccao,CASACO,2025-04-10,2025-04-17,5,4.0,260.0,519.6,1,65.0,129.9,99.85,129.9,65.0,129.9
