IDproduto,Produto,IDgrupo,Grupo,IDsubgrupo,SubGrupo,IDcor,Cor,Ultima Venda,Qtde Vendida,Vr.Venda
AF0607001,TENIS,1,Sapato Feminino,5,TENIS,4,AZUL,01/11/24,9,"R$ 2.132,35"
CT23540001,ALL STAR,1,Sapato Feminino,5,TENIS,4,AZUL,20/09/24,9,"R$ 2.049,60"
FLUTUA.1,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,30/07/24,13,"R$ 2.000,70"
CT24960002,ALL STAR,1,Sapato Feminino,5,TENIS,42,AMENDOA,19/12/24,10,"R$ 1.912,82"
23-12106,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,26/12/24,13,"R$ 1.801,30"
CT04950003.0,ALL STAR,1,Sapato Feminino,5,TENIS,2,BRANCO,17/09/24,8,"R$ 1.799,70"
CT15920001,ALL STAR,1,Sapato Feminino,5,TENIS,3,PRETO,05/10/24,9,"R$ 1.752,43"
CT04950001.0,ALL STAR,1,Sapato Feminino,5,TENIS,3,PRETO,20/09/24,8,"R$ 1.746,95"
AB6416001,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,12/11/24,9,"R$ 1.739,30"
EASY.2,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,01/08/24,10,"R$ 1.729,40"
Y8214001,SANDALIA,1,Sapato Feminino,95,SANDALIA,3,PRETO,04/11/24,10,"R$ 1.704,09"
EASY.2,TENIS,1,Sapato Feminino,5,TENIS,50,MARINHO,11/11/24,12,"R$ 1.690,00"
Q8961,BOTA,1,Sapato Feminino,3,BOTA,3,PRETO,18/07/24,8,"R$ 1.678,60"
JOGGING,TENIS,1,Sapato Feminino,5,TENIS,2,BRANCO,08/05/24,11,"R$ 1.650,00"
CT18540001,ALL STAR,1,Sapato Feminino,5,TENIS,3,PRETO,02/09/24,6,"R$ 1.649,50"
CITRUS.,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,15/07/24,9,"R$ 1.610,10"
23-608-01.,BOTA,1,Sapato Feminino,3,BOTA,3,PRETO,12/07/24,8,"R$ 1.589,20"
354305,TENIS,1,Sapato Feminino,5,TENIS,2,BRANCO,16/11/24,8,"R$ 1.568,00"
CT00040007.4,ALL STAR,1,Sapato Feminino,5,TENIS,3,PRETO,15/12/24,5,"R$ 1.536,50"
CT25700001,ALL STAR,1,Sapato Feminino,5,TENIS,8,ROSA,04/11/24,7,"R$ 1.529,90"
PROOF3,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,04/10/24,9,"R$ 1.519,70"
C1285A.,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,14/10/24,8,"R$ 1.478,62"
AI3010001,SANDALIA,1,Sapato Feminino,95,SANDALIA,3,PRETO,31/12/24,10,"R$ 1.466,43"
G9371,TENIS,1,Sapato Feminino,5,TENIS,2,BRANCO,11/11/24,8,"R$ 1.463,50"
CT04500001.1,ALL STAR,1,Sapato Feminino,5,TENIS,2,BRANCO,27/09/24,5,"R$ 1.454,50"
CT15920002,TENIS,1,Sapato Feminino,5,TENIS,2,BRANCO,17/09/24,8,"R$ 1.450,00"
354301,TENIS,1,Sapato Feminino,5,TENIS,5,MARROM,27/09/24,8,"R$ 1.405,02"
CT00010004.0,TENIS,1,Sapato Feminino,5,TENIS,7,VERMELHO,11/11/24,10,"R$ 1.400,00"
EASY.1,TENIS,1,Sapato Feminino,5,TENIS,50,CHUMBO,30/07/24,9,"R$ 1.399,80"
Q8542,BOTA,1,Sapato Feminino,3,BOTA,3,PRETO,27/09/24,7,"R$ 1.395,25"
23-10910,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,27/09/24,7,"R$ 1.390,48"
6.249.790,SANDALIA,1,Sapato Feminino,95,SANDALIA,14,OURO,18/12/24,12,"R$ 1.390,10"
CT25690002,ALL STAR,1,Sapato Feminino,5,TENIS,2,BRANCO,28/09/24,7,"R$ 1.365,94"
122876,SAPATO,1,Sapato Feminino,30,SAPATO,3,PRETO,14/12/24,7,"R$ 1.326,12"
7.358.223,SAPATO,1,Sapato Feminino,30,SAPATO,30,NUDE,03/10/24,10,"R$ 1.305,20"
7.358.223,SAPATO,1,Sapato Feminino,30,SAPATO,3,PRETO,27/09/24,10,"R$ 1.286,51"
MM0703002,SANDALIA,1,Sapato Feminino,95,SANDALIA,3,PRETO,28/11/24,10,"R$ 1.280,00"
23-8601,TENIS,1,Sapato Feminino,5,TENIS,12,AVEIA OURO,31/12/24,10,"R$ 1.274,36"
Y8214007,SANDALIA,1,Sapato Feminino,95,SANDALIA,22,PRATA,22/11/24,8,"R$ 1.239,90"
62.101.037,SANDALIA,1,Sapato Feminino,95,SANDALIA,3,PRETO,12/12/24,11,"R$ 1.231,30"
7.183.102,TAMANCO,1,Sapato Feminino,25,TAMANCO,3,PRETO,26/06/24,11,"R$ 1.225,40"
AE2034004,SANDALIA,1,Sapato Feminino,95,SANDALIA,30,NUDE,21/12/24,9,"R$ 1.199,80"
23-10911,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,23/12/24,8,"R$ 1.189,80"
349104,BOTA,1,Sapato Feminino,3,BOTA,3,PRETO,18/10/24,5,"R$ 1.179,80"
PR1872002,TAMANCO,1,Sapato Feminino,25,TAMANCO,47,CARAMELO,30/11/24,9,"R$ 1.150,00"
2328204,SANDALIA,1,Sapato Feminino,95,SANDALIA,30,NUDE,06/12/24,7,"R$ 1.127,90"
INDEX.,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,27/09/24,7,"R$ 1.121,55"
2393123,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,27/09/24,8,"R$ 1.107,35"
23-11802,TENIS,1,Sapato Feminino,5,TENIS,3,PRETO,06/11/24,7,"R$ 1.099,50"
6459.110-,SANDALIA,1,Sapato Feminino,95,SANDALIA,2,BRANCO,26/12/24,12,"R$ 1.099,00"
23-21307,SANDALIA,1,Sapato Feminino,95,SANDALIA,98,BAUNILLHA,31/12/24,10,"R$ 1.090,58"
62.101.039,SANDALIA,1,Sapato Feminino,95,SANDALIA,2,BRANCO,30/12/24,10,"R$ 1.085,20"
2328203,SANDALIA,1,Sapato Feminino,95,SANDALIA,30,NUDE,02/11/24,7,"R$ 1.079,00"
CT17300001.,ALL STAR,1,Sapato Feminino,5,TENIS,12,BEGE,16/05/24,5,"R$ 1.065,00"
6.409.218,SANDALIA,1,Sapato Feminino,95,SANDALIA,2,BRANCO,28/11/24,7,"R$ 1.059,40"
7.125.244,TAMANCO,1,Sapato Feminino,25,TAMANCO,53,PESSEGO,24/06/24,11,"R$ 1.039,10"
MA112,BOTA,1,Sapato Feminino,3,BOTA,5,MARROM,06/08/24,7,"R$ 1.039,70"
CT00010008.0,ALL STAR,1,Sapato Feminino,5,TENIS,36,BORDO,20/09/24,6,"R$ 1.039,90"
T5077-088,SANDALIA,1,Sapato Feminino,95,SANDALIA,30,NUDE,24/07/24,10,"R$ 1.029,90"
23-10115,SANDALIA,1,Sapato Feminino,95,SANDALIA,30,NUDE,07/06/24,7,"R$ 1.010,20"
