IDproduto,Produto,Grupo,SubGrupo,Cor,Ultima Compra,Ultima Venda,Pré Estoque,Qtd Ent,Estoque Inicial,Qtde Ven,Estoque Final,Custo Unitário,Pr.Venda Unitário
AF0607001,TENIS,Sapato Feminino,TENIS,AZUL,11/10/23,01/11/24,0,10,10,9,1,"137,65","259,9"
CT23540001,ALL STAR,Sapato Feminino,TENIS,AZUL,16/05/23,20/09/24,1,12,13,9,4,"157,97","299,9"
CT24960002,ALL STAR,Sapato Feminino,TENIS,AMENDOA,16/05/23,19/12/24,0,12,12,10,2,"163,02","299,9"
CT04950003.0,ALL STAR,Sapato Feminino,TENIS,BRANCO,19/10/23,17/09/24,0,9,9,8,1,"163,01","299,9"
CT04950001.0,ALL STAR,Sapato Feminino,TENIS,PRETO,19/10/23,20/09/24,0,9,9,8,1,"163,01","299,9"
AB6416001,TENIS,Sapato Feminino,TENIS,PRETO,11/10/23,12/11/24,0,10,10,9,1,"116,14","219,9"
EASY.2,TENIS,Sapato Feminino,TENIS,PRETO,30/10/23,01/08/24,0,12,12,10,2,"107,32","199,9"
Q8961,BOTA,Sapato Feminino,BOTA,PRETO,21/07/23,18/07/24,1,12,13,8,5,"106,75","219,9"
JOGGING,TENIS,Sapato Feminino,TENIS,BRANCO,13/09/23,08/05/24,0,12,12,11,1,"123,42","229,9"
CT18540001,ALL STAR,Sapato Feminino,TENIS,PRETO,19/10/23,02/09/24,0,9,9,6,3,"157,97","299,9"
CITRUS.,TENIS,Sapato Feminino,TENIS,PRETO,11/10/23,15/07/24,0,12,12,9,3,"96,59","179,9"
23-608-01.,BOTA,Sapato Feminino,BOTA,PRETO,01/08/23,12/07/24,0,12,12,8,4,"72,98","199,9"
354305,TENIS,Sapato Feminino,TENIS,BRANCO,22/08/23,16/11/24,0,12,12,8,4,"119,86","229,9"
CT00040007.4,ALL STAR,Sapato Feminino,TENIS,PRETO,05/10/23,15/12/24,0,9,9,5,4,"139,62","259,9"
CT25700001,ALL STAR,Sapato Feminino,TENIS,ROSA,05/10/23,04/11/24,0,9,9,7,2,"148,1","279,9"
PROOF3,TENIS,Sapato Feminino,TENIS,PRETO,13/11/23,04/10/24,0,12,12,9,3,"107,32","199,9"
C1285A.,TENIS,Sapato Feminino,TENIS,PRETO,16/10/23,14/10/24,2,12,14,8,6,"99,12","199,9"
G9371,TENIS,Sapato Feminino,TENIS,BRANCO,28/09/23,11/11/24,0,12,12,8,4,118,"219,9"
CT04500001.1,ALL STAR,Sapato Feminino,TENIS,BRANCO,05/10/23,27/09/24,2,12,14,5,9,"157,97","299,9"
CT15920002,TENIS,Sapato Feminino,TENIS,BRANCO,06/10/23,17/09/24,0,9,9,8,1,"192,53","359,9"
354301,TENIS,Sapato Feminino,TENIS,MARROM,22/08/23,27/09/24,1,12,13,8,5,"105,52","199,9"
EASY.1,TENIS,Sapato Feminino,TENIS,CHUMBO,15/04/23,30/07/24,0,12,12,9,3,100,"199,9"
Q8542,BOTA,Sapato Feminino,BOTA,PRETO,21/07/23,27/09/24,0,12,12,7,5,"106,75","219,9"
23-10910,TENIS,Sapato Feminino,TENIS,PRETO,04/10/23,27/09/24,0,12,12,7,5,"140,58","249,9"
CT25690002,ALL STAR,Sapato Feminino,TENIS,BRANCO,19/10/23,28/09/24,0,9,9,7,2,"157,97","299,9"
122876,SAPATO,Sapato Feminino,SAPATO,PRETO,12/07/23,14/12/24,4,10,14,7,7,"131,14","239,9"
7.358.223,SAPATO,Sapato Feminino,SAPATO,NUDE,10/11/23,03/10/24,0,12,12,10,2,"67,31","139,9"
7.358.223,SAPATO,Sapato Feminino,SAPATO,PRETO,10/11/23,27/09/24,0,12,12,10,2,"67,31","139,9"
