ID_Produto    ;Nome_Produto;ID_Grupo;Grupo;ID_SubGrupo;SubGrupo;ID_Cor;Cor;Ultima Compra  ;Qtd Ent ;Ultima Venda   ;Estoque Geral  ;Custo Estoque  ;Vr.Estoque      ;Qtde Ven;Custo Venda    ;Vr.Venda       ;Margem         ;Venda Media    ;Reposicao      ;Pr.Venda       
130.           ;CHINELO NUVEM                 ;1;Sapato Feminino               ;6;CHINELOS                      ;100;UNICA                         ;23/10/24       ;144;10/03/25       ;7;140;420;140;2800;7980;185;57;20;60
181.1          ;CHINELO                       ;1;Sapato Feminino               ;6;CHINELOS                      ;100;UNICA                         ;07/10/24       ;120;10/04/25       ;1;15,9;59,9;119;1892,1;6066,8;220,64;50,98;15,9;59,9
12.            ;SANDALIA                      ;1;Sapato Feminino               ;95;SANDALIA                      ;100;UNICA                         ;03/05/22       ;108;19/10/22       ;0;0;0;105;2565,15;5237;104,16;49,87;24,43;49,9
CT04500003     ;ALL STAR                      ;1;Sapato Feminino               ;5;TENIS                         ;3;PRETO                         ;07/07/22       ;15;05/04/25       ;0;0;0;17;2189,6;4605,6;110,34;270,91;128,8;299,9
705;TENIS-MEIA                    ;1;Sapato Feminino               ;5;TENIS                         ;100;UNICA                         ;12/08/24       ;66;29/04/25       ;1;35;70;65;2275;4420;94,29;68;35;70
052.0          ;SANDALIA                      ;1;Sapato Feminino               ;95;SANDALIA                      ;100;UNICA                         ;12/04/23       ;84;02/02/24       ;0;0;0;80;1200;4403,19;266,93;55,03;15;59,9
6293;CHINELO                       ;1;Sapato Feminino               ;6;CHINELOS                      ;100;UNICA                         ;23/12/21       ;66;29/04/22       ;0;0;0;62;2480;4303,68;73,54;69,41;40;89,9
003..-         ;TENIS                         ;1;Sapato Feminino               ;46;TENIS                         ;100;UNICA                         ;19/09/24       ;72;21/05/25       ;2;36;139,8;69;1242;4126,8;232,27;59,8;18;69,9
CT00040007.1   ;ALL STAR                      ;1;Sapato Feminino               ;5;TENIS                         ;3;PRETO                         ;07/07/22       ;18;10/08/23       ;0;0;0;17;2048,5;4043,67;97,4;237,86;120,5;259,9
CT00010001.0   ;ALL STAR                      ;1;Sapato Feminino               ;5;TENIS                         ;2;BRANCO                        ;10/05/22       ;18;05/02/25       ;0;0;0;18;1908;3923,3;105,62;217,96;106;239,9
CT04500001.    ;ALL STAR                      ;1;Sapato Feminino               ;5;TENIS                         ;2;BRANCO                        ;07/07/22       ;15;17/11/22       ;0;0;0;15;1932;3862,59;99,93;257,5;128,8;259,9
