ID_Unico;Referencia;Custo Venda    ;Vr.Venda       ;Reposicao      ;Pr.Venda       
130_100_0;130;2800;7980;20;60
1811_100_0;1811;1892,1;6066,8;15,9;59,9
12_100_0;12;2565,15;5237;24,43;49,9
CT04500003_3_0;CT04500003;2189,6;4605,6;128,8;299,9
705_100_0;705;2275;4420;35;70
0520_100_0;520;1200;4403,19;15;59,9
6293_100_0;6293;2480;4303,68;40;89,9
003_100_0;3;1242;4126,8;18;69,9
CT000400071_3_0;CT000400071;2048,5;4043,67;120,5;259,9
CT000100010_2_0;CT000100010;1908;3923,3;106;239,9
CT04500001_2_0;CT04500001;1932;3862,59;128,8;259,9
7890562108_3_0;7890562108;1977,77;3460;81,69;169,9
GUIMARES_100_0;GUIMARES;1026;3456,7;18;69,9
2253104_5_0;2253104;1896,05;3390,9;140,06;289,9
4146296_14_0;4146296;2105,88;3359,8;175,49;349,9
CT045000011_2_0;CT045000011;1766,4;3239,1;157,97;299,9
ULTRALEVE1_3_0;ULTRALEVE1;1840;3208,7;123,42;229,9
E0367_3_0;E0367;1574;3155,56;84,46;159,9
KABUKI_3_0;KABUKI;2382,38;3149,78;183,26;349,9
CT04510001_2_0;CT04510001;1711,2;3141;142,6;289,9
346902_3_0;346902;1667,4;3105,1;140,17;279,9
4146278_41_0;4146278;1754,88;3090,17;146,24;289,9
CT04480001_100_0;CT04480001;1526;3087,6;109;219,9
346708_3_0;346708;1805,4;3086,33;143,68;299,9
RAIDEN3_3_0;RAIDEN3;2127,24;3047,08;170,18;349,9
CT000400011_2_0;CT000400011;1561,2;3045,9;139,62;259,9
CT045000010_2_0;CT045000010;1472;2969;157,97;299,9
4146290_14_0;4146290;1950;2929,6;195;389,9
CT04510003_3_0;CT04510003;1568,6;2894,6;142,6;289,9
337703_3_0;337703;1617,85;2874,1;118,85;249,9
CT000400073_3_0;CT000400073;1431,1;2858,9;139,62;259,9
346702_3_0;346702;1583,4;2852,45;126,01;269,9
CT000400010_2_0;CT000400010;1446;2852,9;120,5;299,9
2459131_3_0;2459131;2181,6;2849,6;195,1;349,9
CT000100011_2_0;CT000100011;1441,7;2822,7;110,9;239,9
DAY4_3_0;DAY4;1495;2818,8;123,42;219,9
CT000100071_3_0;CT000100071;1441,7;2800,37;110,9;239,9
G4972_2_0;G4972;1805,44;2799,5;131,94;269,9
4145527_3_0;4145527;1520,88;2774,2;126,74;249,9
4146282_35_0;4146282;1930,56;2769,6;160,88;299,9
349104_3_0;349104;1600,5;2764,8;146,78;289,9
346901_3_0;346901;1439,4;2750,97;114,55;239,9
2220401_3_0;2220401;1472,9;2726,1;133,9;259,9
346901_5_0;346901;1439,4;2723,1;114,55;239,9
DAY1_4_0;DAY1;1688,1;2708,4;112,54;219,9
2253104_3_0;2253104;1750,2;2705,9;140,06;289,9
CT04500005_2_0;CT04500005;1659,9;2689,6;161,94;299,9
117106_5_0;117106;1565,4;2686,5;128,79;259,9
RAIDEN_4_0;RAIDEN;1949,97;2645,52;170,18;349,9
346702_5_0;346702;1847,3;2639,8;126,01;269,9
CT000100080_36_0;CT000100080;1566,5;2627,4;129,32;239,9
314721_3_0;314721;1301,4;2605,8;101,94;219,9
DAY_3_0;DAY;1300;2603,35;100;219,9
3830_100_0;3830;1105;2603,27;32,52;79,9
117106_3_0;117106;1434,95;2593,3;128,79;259,9
337703_5_0;337703;1493,4;2586,7;118,85;249,9
CT000400072_3_0;CT000400072;1325,5;2586,23;120,5;259,9
2359131_3_0;2359131;2167,23;2584,9;161,71;299,9
2360801_3_0;2360801;884;2578,7;72,98;199,9
MB122_30_0;MB122;1384,83;2572,6;64,62;119,9
261028_3_0;261028;1409,4;2567,9;115,96;229,9
CAMILLA_100_0;CAMILLA;594;2549;18;99,9
2386302_3_0;2386302;1369,2;2549,5;118,78;229,9
2057105_30_0;2057105;1472,4;2543,9;119,02;249,9
2310910_3_0;2310910;1571,88;2537;140,58;249,9
2210701_3_0;2210701;1300,6;2536,24;92,9;189,9
KABUKI_8_0;KABUKI;1649,34;2532,2;183,26;349,9
CT13070001_63_0;CT13070001;1299,1;2526,7;118,1;249,9
349105_370_0;349105;1722;2519,6;137,04;279,9
4000_100_0;4000;1260;2517,76;35;70
1019_100_0;1019;786,9;2513,97;12,9;49,9
361703_3_0;361703;1300,5;2504,3;145;289,9
DAY3_50_0;DAY3;1610;2488,47;115;219,9
CT04470002_100_0;CT04470002;1416,8;2481,51;101,2;199,9
2386302_5_0;2386302;1363,2;2478,2;118,25;229,9
2395121_3_0;2395121;1499,85;2474,2;132,26;249,9
EASY650_50_0;EASY650;1272,18;2469,03;97,86;199,9
ULTRALEVE0_3_0;ULTRALEVE0;1350,48;2459,15;112,54;229,9
2258103_3_0;2258103;1363,2;2455;110,19;219,9
1002_100_0;1002;1663,64;2449,9;37,81;60
227704_12_0;227704;2143,7;2449,76;164,9;299,9
CT00040008_36_0;CT00040008;1325,5;2447,1;120,5;239,9
CT00010007_3_0;CT00010007;1166;2436,9;106;219,9
DAY0_8_0;DAY0;1463,02;2408,4;112,54;219,9
336104_3_0;336104;1425;2399,5;133,95;279,9
314721_5_0;314721;1192,95;2396,92;101,94;219,9
CT00010008_36_0;CT00010008;1166;2386,04;106;219,9
349105_3_0;349105;1435;2385,5;137,04;279,9
AA0201_3_0;AA0201;1195,8;2378,8;99,65;199,9
Q8542_3_0;Q8542;1182,72;2377;106,75;219,9
Q6772_3_0;Q6772;1182,72;2374,9;102,14;219,9
DYNAMIC343_50_0;DYNAMIC343;1271,53;2358,88;97,81;199,9
C1285A_3_0;C1285A;1166,64;2356,12;92,36;199,9
CT25700001_8_0;CT25700001;1518;2355,57;148,1;279,9
BOREAL_14_0;BOREAL;1163,82;2351,68;83,13;169,9
2217106_11_0;2217106;1390,8;2340,05;115,9;229,9
2399301_3_0;2399301;1636,2;2339,8;141,94;269,9
CT24960002_42_0;CT24960002;1670,9;2334,6;163,02;299,9
CT23540001_4_0;CT23540001;1472;2334,5;157,97;299,9
DAY0_50_0;DAY0;1350,48;2328,3;112,54;219,9
CT000400075_3_0;CT000400075;1200,6;2326,1;143,16;259,9
2391361_3_0;2391361;1581,6;2319,8;137,21;259,9
5766PL069_3_0;5766PL069;1697,16;2313,3;141,43;259,9
2351131_5_0;2351131;2167,23;2299,99;173,54;319,9
G4972_3_0;G4972;1388,8;2299,5;131,94;269,9
