ID_Produto,Nome_Produto,ID_Grupo,Grupo,ID_SubGrupo,SubGrupo,ID_Cor,Cor,Ultima Compra,Qtd Ent,Ultima Venda,Estoque Geral,Custo Estoque,Vr.Estoque,Qtde Ven,Custo Venda,Vr.Venda,Margem,Venda Media,Reposicao,Pr.Venda,ID_Unico
130,CHINELO NUVEM                 ,1,Sapato Feminino               ,6,CHINELOS                      ,100,UNICA                         ,23/10/2024,144,10/03/2025,7,1400.0,4200.0,140,28000.0,79800.0,185,570.0,200.0,600.0,130_100_0
1811,CHINELO                       ,1,Sapato Feminino               ,6,CHINELOS                      ,100,UNICA                         ,07/10/2024,120,10/04/2025,1,159.0,599.0,119,18921.0,60668.0,"220,64",5098.0,159.0,599.0,1811_100_0
12,SANDALIA                      ,1,Sapato Feminino               ,95,SANDALIA                      ,100,UNICA                         ,03/05/2022,108,19/10/2022,0,0.0,0.0,105,256515.0,52370.0,"104,16",4987.0,2443.0,499.0,12_100_0
CT04500003,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,07/07/2022,15,05/04/2025,0,0.0,0.0,17,21896.0,46056.0,"110,34",27091.0,1288.0,2999.0,CT04500003_3_0
705,TENIS-MEIA                    ,1,Sapato Feminino               ,5,TENIS                         ,100,UNICA                         ,12/08/2024,66,29/04/2025,1,350.0,700.0,65,22750.0,44200.0,"94,29",680.0,350.0,700.0,705_100_0
520,SANDALIA                      ,1,Sapato Feminino               ,95,SANDALIA                      ,100,UNICA                         ,12/04/2023,84,02/02/2024,0,0.0,0.0,80,12000.0,440319.0,"266,93",5503.0,150.0,599.0,0520_100_0
6293,CHINELO                       ,1,Sapato Feminino               ,6,CHINELOS                      ,100,UNICA                         ,23/12/2021,66,29/04/2022,0,0.0,0.0,62,24800.0,430368.0,"73,54",6941.0,400.0,899.0,6293_100_0
3,TENIS                         ,1,Sapato Feminino               ,46,TENIS                         ,100,UNICA                         ,19/09/2024,72,21/05/2025,2,360.0,1398.0,69,12420.0,41268.0,"232,27",598.0,180.0,699.0,003_100_0
CT000400071,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,07/07/2022,18,10/08/2023,0,0.0,0.0,17,20485.0,404367.0,"97,4",23786.0,1205.0,2599.0,CT000400071_3_0
CT000100010,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,10/05/2022,18,05/02/2025,0,0.0,0.0,18,19080.0,39233.0,"105,62",21796.0,1060.0,2399.0,CT000100010_2_0
CT04500001,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,07/07/2022,15,17/11/2022,0,0.0,0.0,15,19320.0,386259.0,"99,93",2575.0,1288.0,2599.0,CT04500001_2_0
7890562108,TENIS                         ,1,Sapato Feminino               ,46,TENIS                         ,3,PRETO                         ,30/01/2023,12,20/11/2023,0,0.0,0.0,23,197777.0,34600.0,"74,94",15043.0,8169.0,1699.0,7890562108_3_0
GUIMARES,RASTEIRA                      ,1,Sapato Feminino               ,4,RASTEIRINHA                   ,100,UNICA                         ,14/09/2024,60,08/05/2025,3,540.0,2097.0,57,10260.0,34567.0,"236,91",6064.0,180.0,699.0,GUIMARES_100_0
2253104,BOTA                          ,1,Sapato Feminino               ,3,BOTA                          ,5,MARROM                        ,28/03/2022,12,21/07/2022,0,0.0,0.0,13,189605.0,33909.0,"78,84",26083.0,14006.0,2899.0,2253104_5_0
4146296,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,14,CINZA                         ,04/11/2021,12,29/03/2023,0,0.0,0.0,12,210588.0,33598.0,"59,54",27998.0,17549.0,3499.0,4146296_14_0
CT045000011,ALLSTAR                       ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,05/10/2023,12,13/03/2025,2,2944.0,5998.0,12,17664.0,32391.0,"83,37",26992.0,15797.0,2999.0,CT045000011_2_0
ULTRALEVE1,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,01/04/2024,24,25/11/2024,4,4600.0,9196.0,16,18400.0,32087.0,"74,39",20054.0,12342.0,2299.0,ULTRALEVE1_3_0
E0367,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,30/09/2024,24,19/05/2025,4,3148.0,6396.0,20,15740.0,315556.0,"100,48",15777.0,8446.0,1599.0,E0367_3_0
KABUKI,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,13/12/2021,12,31/05/2023,0,0.0,0.0,13,238238.0,314978.0,"32,21",24229.0,18326.0,3499.0,KABUKI_3_0
CT04510001,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,07/07/2022,12,01/09/2023,0,0.0,0.0,12,17112.0,31410.0,"83,56",26175.0,1426.0,2899.0,CT04510001_2_0
346902,BOTA                          ,1,Sapato Feminino               ,3,BOTA                          ,3,PRETO                         ,08/07/2023,12,05/07/2024,0,0.0,0.0,12,16674.0,31051.0,"86,22",25875.0,14017.0,2799.0,346902_3_0
4146278,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,41,ROSE                          ,30/09/2021,12,23/01/2023,0,0.0,0.0,12,175488.0,309017.0,"76,09",25751.0,14624.0,2899.0,4146278_41_0
CT04480001,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,100,UNICA                         ,20/08/2020,12,16/03/2021,0,0.0,0.0,14,15260.0,30876.0,"102,33",22054.0,1090.0,2199.0,CT04480001_100_0
346708,BOTA                          ,1,Sapato Feminino               ,3,BOTA                          ,3,PRETO                         ,11/04/2023,12,19/07/2023,0,0.0,0.0,12,18054.0,308633.0,"70,95",25719.0,14368.0,2999.0,346708_3_0
RAIDEN3,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,10/11/2021,12,12/08/2023,0,0.0,0.0,12,212724.0,304708.0,"43,24",25392.0,17018.0,3499.0,RAIDEN3_3_0
CT000400011,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,16/05/2023,12,03/04/2025,0,0.0,0.0,12,15612.0,30459.0,"95,1",25382.0,13962.0,2599.0,CT000400011_2_0
CT045000010,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,2,BRANCO                        ,16/05/2023,12,06/11/2023,0,0.0,0.0,10,14720.0,29690.0,"101,7",2969.0,15797.0,2999.0,CT045000010_2_0
4146290,TENIS                         ,1,Sapato Feminino               ,5,TENIS                         ,14,CINZA                         ,30/09/2021,11,07/08/2023,0,0.0,0.0,10,19500.0,29296.0,"50,24",29296.0,1950.0,3899.0,4146290_14_0
CT04510003,ALL STAR                      ,1,Sapato Feminino               ,5,TENIS                         ,3,PRETO                         ,07/07/2022,12,23/09/2023,0,0.0,0.0,11,15686.0,28946.0,"84,53",26314.0,1426.0,2899.0,CT04510003_3_0
337703,BOTA                          ,1,Sapato Feminino               ,3,BOTA                          ,3,PRETO                         ,21/06/2022,12,27/07/2022,0,0.0,0.0,13,161785.0,28741.0,"77,65",22108.0,11885.0,2499.0,337703_3_0
